English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
You should then reload the job and re-run this check.	Anschließend sollten Sie die Datei neu laden und diese Prüfung erneut durchführen.	Vous devez ensuite recharger la tâche et effectuer à nouveau cette vérification.	Successivamente ricarica il lavoro e controlla di novo.	Lataa työ uudelleen ja suorita tämä tarkistus uudelleen.	U moet dan de job opnieuw laden en deze controle opnieuw uitvoeren.	Następnie wczytaj ponownie plik i uruchom sprawdzanie programu.	Du skal derefter genindlæse jobbet og køre denne kontrol igen.	그런 다음 작업을 다시 로드하고 이 검사를 다시 실행해야 합니다.	Du bör sedan starta om jobbet och göra en ny kontroll.	その後、ジョブをリロードして、このチェックを再実行する必要があります。	A continuación, deberá recargar el trabajo y volver a realizar esta comprobación.
If you have already tried to reposition the datum, but cannot get the job to fit within the machine bounds, your job may simply be set up incorrectly in your CAD/CAM software.	Wenn Sie bereits versucht haben, den Bezugspunkt neu zu setzen, der Job aber nicht in die Maschinengrenzen passt, ist Ihr Projekt möglicherweise einfach falsch in Ihrer CAD/CAM-Software eingestellt.	Si vous avez déjà essayé de repositionner le point d'origine, mais que vous ne parvenez pas à faire rentrer la tâche dans les limites de la machine, il se peut que votre tâche soit simplement mal configurée dans votre logiciel de CAO/FAO.	Se hai già provato a riposizionare l'origine ma non riesci a far rientrare il lavoro nei limiti della macchina, il lavoro potrebbe semplicemente essere impostato in modo errato nel software CAD/CAM.	Jos olet jo yrittänyt asettaa nollapistettä uudelleen, mutta et saa työtä mahtumaan koneen rajojen sisälle, työsi voi yksinkertaisesti olla väärin asetettu CAD/CAM-ohjelmistossasi.	Als u al geprobeerd hebt het nulpunt te verplaatsen, maar de job niet binnen de machinegrenzen kunt krijgen, kan het zijn dat uw job verkeerd ingesteld is in uw CAD/CAM software.	Jeżeli próba zmiany punktu odniesienia nie rozwiązała problemu, to należy sprawdź program w oprogramowaniu CAD/CAM.	Hvis du allerede har forsøgt at flytte nulpunktet, men ikke kan få jobbet til at passe inden for maskinens grænser, er jobbet måske bare indstillet forkert i din CAD/CAM-software.	이미 기준을 재배치하려고 했지만 기계 경계 내에서 작업범위 설정 할 수 없는 경우 CAD/CAM 소프트웨어에서 작업 범위를 잘못 설정했을 수 있습니다.	Om du redan har försökt flytta refferenspunkten, men du kan ändå inte få jobbet att passa inom maskinens arbetsyta, då kan jobbet helt enkelt vara felaktigt gjort i CAD/CAM mjukvaran.	すでにデータムの位置を変更しようとしたものの、ジョブをマシンの境界内に収めることができない場合は、単に CAD/CAM ソフトウェアでジョブが正しく設定されていない可能性があります。	Si ya ha intentado cambiar la posición de la referencia, pero no logra que el trabajo se ajuste a los límites de la máquina, es posible que su trabajo simplemente esté configurado incorrectamente en su software CAD/CAM.
Common causes include setting the CAD/CAM job datum far away from the actual design, or exporting the job from the CAM software in the wrong units.	Häufige Ursachen sind, dass der CAD/CAM-Job-Nullpunkt weit von der tatsächlichen Konstruktion entfernt ist oder dass der Job aus der CAM-Software in den falschen Einheiten exportiert wurde.	Les causes les plus courantes sont le réglage du point d'origine du travail CAO/FAO trop éloigné de la conception réelle, ou l'exportation du travail depuis le logiciel de FAO dans les mauvaises unités.	Le cause più comuni sono l'impostazione dell'origine del lavoro CAD/CAM lontano dal disegno reale o l'esportazione del lavoro dal software CAM nelle unità sbagliate.	Yleisiä syitä ovat muun muassa CAD/CAM-työn nollapisteen asettaminen kauas todellisesta suunnitelmasta tai työn vieminen CAM-ohjelmistosta väärissä yksiköissä.	Veel voorkomende oorzaken zijn dat het CAD/CAM-nulpunt ver van het eigenlijke ontwerp is afgesteld, of dat de job vanuit de CAM-software in de verkeerde eenheden geëxporteerd is.	Do najczęstszych przyczyn należy ustawienie punktu odniesienia CAD/CAM poza obszarem programu lub wybór niewłaściwych jednostek.	Almindelige årsager er bl.a., at CAD/CAM-jobnulpunkt er sat langt væk fra det faktiske design, eller at jobbet eksporteres fra CAM-softwaren i de forkerte enheder.	일반적인 원인으로는 실제 설계에서 멀리 떨어진 CAD/CAM 작업 기준 설정 또는 CAM 소프트웨어에서 잘못된 장치로 작업을 내보내는 것이 포함됩니다.	Vanliga orsaker är att CAD/CAM- jobbet ställs in långt ifrån den faktiska designen, eller att den exporterade filen är av fel filtyp. 	一般的な原因としては、CAD/CAM ジョブ データムを実際の設計から遠く離れて設定したり、間違った単位で CAM ソフトウェアからジョブをエクスポートしたりすることが挙げられます。	Entre las causas más comunes se encuentran la fijación del punto de referencia del trabajo CAD/CAM lejos del diseño real, o la exportación del trabajo desde el software CAM en las unidades equivocadas.
Check your design and export settings.	Überprüfen Sie Ihre Konstruktions- und Exporteinstellungen.	Vérifiez vos paramètres de conception et d'exportation.	Controlla il tuo progetto e le impostazioni di esportazione.	Tarkista suunnittelu- ja vientiasetukset.	Controleer uw ontwerp- en exportinstellingen.	Proszę sprawdź ustawienia projektowe i eksportowe.	Kontroller dine indstillinger for design og eksport.	설계 및 파일 내보내기 설정을 확인하십시오.	Kontrollera inställningarna för design och export.	デザインとエクスポートの設定を確認してください。	Compruebe los ajustes de diseño y exportación.
You should then reload the job and re-run the check.	Anschließend sollten Sie die Datei neu laden und die Prüfung erneut durchführen.	Vous devez ensuite recharger le travail et relancer la vérification.	Dovresti poi ricaricare il lavoro e rieseguire il controllo.	Lataa työ uudelleen ja suorita tarkistus uudelleen.	U moet dan de job opnieuw laden en de controle opnieuw uitvoeren.	Następnie ponownie wczytaj program oraz dokonaj sprawdzenia pliku.	Du skal derefter genindlæse jobbet og køre kontrollen igen.	그런 다음 작업을 다시 로드하고 검사를 다시 실행해야 합니다.	Du bör sedan ladda om jobbet och göra en ny kontroll.	その後、ジョブをリロードしてチェックを再実行する必要があります。	A continuación, debe volver a cargar el trabajo y volver a ejecutar la comprobación.
Finally, if you have already tried to reposition the datum, or if the graphics on the job previews do not look normal, your G-code may be corrupt.	Wenn Sie bereits versucht haben, den Bezugspunkt neu zu positionieren, oder wenn die Grafiken in der Jobvorschau nicht normal aussehen, ist Ihr G-Code möglicherweise beschädigt.	Enfin, si vous avez déjà essayé de repositionner le point de référence, ou si les graphiques des aperçus de la tâche ne semblent pas normaux, votre code G est peut-être corrompu.	Infine, se hai già provato a riposizionare l'origine o se i percorsi sull'anteprima di lavorazione non sembrano normali, il G-code potrebbe essere corrotto.	Lopuksi, jos olet jo yrittänyt asettaa datumin uudelleen tai jos työn esikatselukuvan grafiikka ei näytä normaalilta, G-koodisi voi olla vioittunut.	Tenslotte, als u al geprobeerd hebt om het nulpunt te verplaatsen, of als de grafische voorstellingen op de previews van de job er niet normaal uitzien, kan uw G-code corrupt zijn.	Jeśli grafika poglądowa nie wyświetla się poprawnie lub zmiana punktu odniesienia nie rozwiązuje problemu,Twój Gcode może być uszkodzony.	Til sidst, hvis du allerede har forsøgt at omplacere nulpunktet, eller hvis grafikken på jobprøverne ikke ser normal ud, kan din G-kode være beskadiget.	마지막으로, 이미 기준을 재배치하려고 시도했거나 작업 미리보기의 그래픽이 정상으로 보이지 않으면 G 코드가 손상 될 수 있습니다.	Om du redan har försökt flytta refferenspunkten, men du kan ändå inte få jobbet att passa inom maskinens arbetsyta, då kan G-koden vara felaktig.	最後に、すでにデータムの位置を変更しようとしている場合、またはジョブ プレビューのグラフィックスが正常に見えない場合は、G コードが破損している可能性があります。	Finalmente, si ya ha intentado reposicionar el datum, o si los gráficos en las vistas previas del trabajo no se ven normales, su código G puede estar dañado.
If this is the case, you may want to press Check G-code.	Wenn dies der Fall ist, sollten Sie auf "G-Code prüfen" drücken.	Si c'est le cas, il est préférable d'appuyer sur Vérifier le G-code.	Se questo è il caso, potresti voler premere Controlla G-code.	Jos näin on, sinun kannattaa painaa Check G-code (Tarkista G-koodi) -painiketta.	Als dit het geval is, kunt u het beste op G-code controleren drukken.	W takim przypadku naciśnij przycisk Sprawdź G-code.	Hvis det er tilfældet, kan du trykke på Kontrol af G-kode.	이 경우 G 코드를 확인하십시오을 누르는 것이 좋습니다.	Om så är fallet kan du trycka på Kontrollera G-kod.	この場合は、「G コードを確認」を押してください。	Si este es el caso, es posible que desee pulsar Check G-code.
Checking the job's G-code when it is outside of the machine bounds may trigger an alarm screen.	Wenn Sie den G-Code des Jobs prüfen,  kann dies eine Alarmmeldung auslösen, falls er außerhalb der Maschinengrenzen liegt.	Vérifier le G-code de la tâche lorsqu'il est en dehors des limites de la machine peut déclencher un écran d'alarme.	Controllare il G-code del lavoro quando è fuori dai limiti della macchina può far scattare una schermata di allarme.	Työn G-koodin tarkistaminen, kun se on koneen rajojen ulkopuolella, voi aiheuttaa hälytysnäytön.	Als u de G-code van de job controleert terwijl die buiten de grenzen van de machine valt, kan er een alarmscherm verschijnen.	Jeżeli w sprawdzanym programie zdefiniowny obszar znajduje się poza granicami maszyny, zostanie wyświetlone ostrzeżenie.	Kontrol af jobbets G-kode, når det er uden for maskinens grænser, kan udløse en alarmskærm.	기계경계 외부에 있을 때 작업의 G코드를 확인하면 알람화면이 작동 될 수 있습니다.	Om du kontrollerar jobbets G-kod när det är utanför maskinens gränser kan det utlösa en larmskärm.	ジョブがマシンの境界外にあるときにジョブの G コードを確認すると、アラーム画面がトリガーされる場合があります。	Verificar el código G del trabajo cuando está fuera de los límites de la máquina puede activar una pantalla de alarma.
Check G-code	G-Code prüfen	Vérifier le G-code	Controlla G-code	Tarkista G-koodi	G-code controleren	Sprawdź G-code	Kontrol af G-kode	G 코드를 확인하십시오	Kontrollera G-kod	Gコードを確認する	Comprobar el código G
Starting Check	Prüfung starten	Démarrage de la vérification	Avvio del controllo	Tarkistuksen käynnistäminen	Beginnen met controleren	Rozpoczęcie sprawdzania	Starter Kontrol	시작 점검	Startkontroll	始動確認	Comprobación de inicio
Looking for gcode errors	Suche nach G-Code-Fehlern	Recherche d'erreurs dans le G-code	Cercando errori g-code	G-koodivirheiden etsiminen	Op zoek naar g-code fouten	Szukanie błędów w programie G-code	Leder efter G-code-fejl	Gcode 오류를 찾고 있습니다	Letar efter fel i gcode	gcode エラーを探しています	Buscando errores de gcode
machine is not idle.	Maschine ist nicht im Leerlauf.	la machine n'est pas en mode repos (IDLE).	la macchina non è inattiva.	Kone ei ole joutokäynnillä.	machine is niet inactief.	maszyna nie jest w stanie spoczynku.	maskinen er ikke i tomgang.	기계가 멈춤 상태가 아닙니다.	Maskinen är inte i viloläge	マシンはアイドル状態ではありません。	la máquina no está inactiva.
no serial connection.	keine serielle Verbindung.	pas de connexion série.	nessuna connessione seriale.	ei sarjaliitäntää.	geen seriële verbinding.	brak połączenia szeregowego.	ingen forbindelse	직렬 연결 없음.	ingen seriell anslutning.	シリアル接続はありません。	sin conexión en serie.
Please ensure machine is in idle state before attempting to reload the file.	Bitte stellen Sie sicher, dass das Gerät im Leerlauf ist, bevor Sie versuchen, die Datei neu zu laden.	Veuillez vous assurer que la machine est en mode repos (IDLE) avant de tenter de recharger le fichier.	Assicurati che la macchina sia inattiva prima di tentare di ricaricare il file.	Varmista, että kone on joutokäyntitilassa, ennen kuin yrität ladata tiedoston uudelleen.	Zorg ervoor dat de machine in rust is, voordat u probeert het bestand te herladen.	Proszę sprawdź czy maszyna jest w stanie spoczynku, przed próbą ponowego wczytania pliku.	Sørg for, at maskinen er i inaktiv tilstand, før du forsøger at genindlæse filen.	파일을 다시 로드 하기전에 머신이 멈춤 상태인지 확인하십시오.	Se till att maskinen är i viloläge innan du försöker ladda om filen.	ファイルを再ロードする前に、マシンがアイドル状態であることを確認してください。	Por favor, asegúrese de que la máquina está en estado de reposo antes de intentar recargar el archivo.
Please ensure your machine is connected, and reload the file.	Bitte stellen Sie sicher, dass alle Stecker am Gerät angeschlossen ist, und laden Sie die Datei neu.	Veuillez vous assurer que votre machine est connectée, et recharger le fichier.	Assicurati che la macchina sia connessa e ricarica il file.	Varmista, että kone on kytketty ja lataa tiedosto uudelleen.	Zorg ervoor dat uw machine verbonden is, en laad het bestand opnieuw.	Sprawdź czy maszyna jest podłączona i ponownie wczytaj plik.	Sørg for, at din maskine er tilsluttet, og genindlæs filen.	컴퓨터가 연결되어 있는지 확인하고 파일을 다시 로드하십시오.	Se till att din maskin är ansluten och ladda om filen.	マシンが接続されていることを確認し、ファイルをリロードしてください。	Por favor, asegúrese de que su máquina está conectada, y vuelva a cargar el archivo.
Checking job	Datei prüfen	Vérification de la tâche,	Controllo del lavoro	Tarkistetaan työ	Opdracht controleren	Sprawdzanie wczytanego programu	Kontrol af job	작업파일 확인	Kontrollera jobbet	チェック作業	Comprobando el trabajo
Errors found!	Fehler gefunden!	Erreurs trouvées !	Errori trovati!	Virheitä löytyi!	Fouten gevonden!	Znaleziono błędy!	Fejl fundet!	오류 발견!	Fel har hittats!	エラーが見つかりました!	¡Errores encontrados!
Errors found in G-code.	Fehler im G-Code gefunden.	Erreurs trouvées dans le G-Code.	Sono stati trovati errori nel G-code.	G-koodista löytyi virheitä.	Fouten gevonden in de G-code.	Znaleziono błędy w G-code.	Fejl fundet i G-koden.	G 코드에서 발견 된 오류.	Fel som hittats i G-koden.	G コードでエラーが見つかりました。	Errores encontrados en el código G.
Please review your job before attempting to reload it.	Bitte überprüfen Sie Ihren Job, bevor Sie versuchen, ihn neu zu laden.	Veuillez revoir votre tâche avant de tenter de le recharger.	Per favore rivedi il lavoro prima di tentare di ricaricarlo.	Tarkista työsi ennen kuin yrität ladata sen uudelleen.	Controleer uw opdracht voordat u hem opnieuw probeert te laden.	Proszę sprawdź swój program, przed ponownym wczytaniem.	Du skal gennemgå dit job, før du forsøger at genindlæse det.	다시 로드 하려고 시도하기 전에 작업파일을 검토하십시오.	Se över ditt jobb innan du försöker ladda om det.	ジョブを再ロードする前に、ジョブを確認してください。	Por favor, revise su trabajo antes de intentar recargarlo.
Please review and re-load your job before attempting to run it.	Bitte überprüfen und laden Sie Ihre Datei neu, bevor Sie versuchen, sie auszuführen.	Veuillez revoir et recharger votre tâche avant de tenter de l'exécuter.	Per favore rivedi e ricarica il lavoro prima di tentare di eseguirlo.	Tarkista ja lataa työsi uudelleen ennen kuin yrität ajaa sitä.	Controleer uw job en laad hem opnieuw voordat u hem probeert uit te voeren.	Sprawdź plik i wczytaj go ponownie przed kolejną próbą uruchomienia.	Du skal gennemgå og genindlæse dit job, før du forsøger at køre det.	실행을 시도하기 전에 작업파일을 검토하고 다시 로드하십시오.	Se över och ladda om ditt jobb innan du försöker köra det.	ジョブを実行する前に、ジョブを確認して再ロードしてください。	Por favor, revise y recargue su trabajo antes de intentar ejecutarlo.
Advisories	Hinweise	Avis	Avvisi	Ilmoitukset	Adviezen	Wskazówki	Rådgivning	주의!	Rådgivning	勧告	Avisos
This file will run, but it might not run in the way you expect.	Diese Datei wird ausgeführt, aber möglicherweise nicht so, wie Sie es erwarten.	Ce fichier s'exécutera, mais il se peut qu'il ne s'exécute pas de la façon que vous souhaitez.	Questo file verrà eseguito, ma potrebbe non essere eseguito nel modo atteso.	Tämä tiedosto suoritetaan, mutta se ei välttämättä toimi odotetulla tavalla.	Dit bestand zal uitgevoerd worden, maar misschien niet op de manier die u verwacht.	Ten program zostanie uruchomiony, ale może nie działać zgodnie z oczekiwaniami.	Denne fil vil blive kørt, men måske ikke på den måde, du forventer, at den vil blive kørt.	이 파일은 실행되지만 기대하는 방식으로 실행되지 않을 수 있습니다.	Filen kommer att köras, men kanske inte på det sätt som du förväntar dig.	このファイルは実行されますが、期待どおりに実行されない可能性があります。	Este archivo se ejecutará, pero puede que no se ejecute de la manera que usted espera.
Please review your job before running it.	Bitte überprüfen Sie Ihren Job, bevor Sie ihn ausführen.	Veuillez revoir votre tâche avant de l'exécuter.	Ti preghiamo di rivedere il lavoro prima di eseguirlo.	Tarkista työsi ennen sen suorittamista.	Controleer uw opdracht voordat u hem uitvoert.	Proszę sprawdź swój program, przed uruchomieniem.	Gennemgå dit job, før du kører det.	실행하기 전에 작업파일을 검토하십시오.	Granska ditt jobb innan du kör det.	ジョブを実行する前にジョブを確認してください。	Por favor, revise su trabajo antes de ejecutarlo.
File is OK!	Datei ist OK!	Le fichier est OK !	Il file è OK!	Tiedosto on OK!	Bestand is OK!	Program jest OK!	Filen er OK!	파일은 이상 없습니다!	Filen är OK!	ファイルはOKです！	El archivo está bien.
No errors found. You're good to go!	Keine Fehler gefunden. Sie sind startklar!	Aucune erreur n'a été détectée. Vous êtes prêt à commencer !	Nessun errore trovato. Sei pronto per cominciare!	Virheitä ei löytynyt. Olet valmis aloittamaan!	Geen fouten gevonden. U kunt aan de slag!	Nie znaleziono żadnych błędów. Można działać!	Ingen fejl fundet. Du er klar til at køre!	오류가 발견되지 않았습니다. 진행해도 좋습니다	Inga fel hittades. Gå vidare!	エラーは見つかりませんでした。大丈夫です！	No se han encontrado errores. Ya puedes irte.
Finish	Beenden	Terminer	Fine	Finish	Voltooi	Zakończono	Færdig	끝	Färdigt	仕上げる	Acabado
SPINDLE WARNING	SPINDEL-WARNUNG	AVERTISSEMENT : BROCHE	AVVISO MANDRINO	KARAN VAROITUS	SPINDEL WAARSCHUWING	OSTRZEŻENIE O WRZECIONIE	ADVARSEL OM SPINDEL	스핀들 경고	SPINDELVARNING	スピンドルの警告	ADVERTENCIA SOBRE EL HUSILLO
This file has no command to turn the spindle on.	Diese Datei enthält keinen Befehl zum Einschalten der Spindel.	Ce fichier n'a pas de commande pour mettre en marche la broche.	Questo file non ha nessun comando per accendere il mandrino.	Tässä tiedostossa ei ole komentoa karan käynnistämiseksi.	Dit bestand heeft geen commando om de spindel aan te zetten.	W tym programie nie wykyryto polecenia włączenia wrzeciona.	Denne fil har ingen kommando om at tænde for spindlen.	이 파일에는 스핀들을 켜는 명령이 없습니다.	Denna fil har inget kommando för att starta spindeln	このファイルにはスピンドルをオンにするコマンドがありません。	Este archivo no tiene ningún comando para encender el husillo.
This may be intended behaviour, but if you are trying to do a cut you should review your file before trying to run it!	Dies mag beabsichtigt sein, aber wenn Sie fräsen wollen, sollten Sie Ihre Datei überprüfen, bevor Sie sie ausführen!	C'est peut-être l'action voulue, mais si vous essayez de faire une coupe, vous devriez revoir votre fichier avant d'essayer de l'exécuter !	Potrebbe essere un comportamento voluto, ma se stai cercando di fare un taglio dovresti rivedere il file prima di provare ad eseguirlo!	Tämä saattaa olla tarkoituksenmukaista, mutta jos yrität tehdä leikkausta, sinun on syytä tarkistaa tiedostosi ennen kuin yrität ajaa sitä!	Dit kan het bedoelde gedrag zijn, maar als u probeert een snede te doen, moet u uw bestand eerst nakijken voordat u het probeert uit te voeren!	Może to być zamierzone zachowanie, ale jeżeli chcesz frezować, powinnieneś przejrzeć swój plik, zanim spróbujesz go uruchomić!	Det er måske meningen, men hvis du forsøger at lave et klip, bør du gennemgå din fil, før du forsøger at køre den!	이것은 의도 된 동작 일 수 있지만, 컷을 하려는 경우 파일을 실행하려고 하기 전에 파일을 검토해야 합니다!	Dett kan vara som det ska, men om du försöker fräsa bör du se över filen innan du börjar	これは意図された動作である可能性がありますが、カットを実行しようとしている場合は、実行する前にファイルを確認する必要があります。	¡Este puede ser el comportamiento previsto, pero si usted está tratando de hacer un corte debe revisar su archivo antes de tratar de ejecutarlo!
FEED RATE WARNING	VORSCHUB-WARNUNG	AVERTISSEMENT : VITESSE D'AVANCE	AVVISO VELOCITÀ DI AVANZAMENTO	SYÖTTÖNOPEUSVAROITUS	AANZET WAARSCHUWING	OSTRZEŻENIE O PRĘDKOŚCIACH POSUWU	ADVARSEL OM FREMFØRINGSHASTIGHED	피드속도 경고	VARNING FÖR MATNINGSHASTIGHET	送り速度の警告	ADVERTENCIA SOBRE LA VELOCIDAD DE AVANCE
This file contains feed rate commands as low as N00 mm/min.	Diese Datei enthält Vorschubbefehle, die so niedrig wie N00 mm/min sind.	Ce fichier contient des commandes de vitesse d'avance minimales de N00 mm/min.	Questo file contiene comandi di avanzamento a partire da N00 mm/min.	Tämä tiedosto sisältää syöttönopeuskomentoja, jotka ovat niinkin alhaisia kuin N00 mm/min.	Dit bestand bevat aanzetcommando's zo laag als N00 mm/min.	Ten program zawiera polecenia posuwu tak niskie jak N00 mm/min.	Denne fil indeholder kommandoer for fremføringshastighed så lavt som N00 mm/min.	이 파일에는 N00 mm/min의 피드 비율 명령이 포함되어 있습니다.	Den här filen innehåller kommandon för matningshastighet så lågt som N00 mm/min.	このファイルには、N00 mm/min までの送り速度コマンドが含まれています。	Este archivo contiene comandos de velocidad de avance tan bajos como N00 mm/min.
The recommended minimum feed rate is 100 mm/min.	Der empfohlene Mindestvorschub beträgt 100 mm/min.	La vitesse d'avance minimale recommandée est de 100 mm/min.	L'avanzamento minimo raccomandato è 100 mm/min.	Suositeltava vähimmäissyöttönopeus on 100 mm/min.	De aanbevolen minimale voedingssnelheid is 100 mm/min.	Zalecana minimalna prędkość posuwu wynosi 100 mm/min.	Den anbefalede mindste fremføringshastighed er 100 mm/min.	권장 최소공급 속도는 100mm/min입니다.	Den rekommenderade minsta matningshastigheten är 100 mm/min.	推奨される最小送り速度は 100 mm/min です。	El avance mínimo recomendado es de 100 mm/min.
This file contains feed rate commands as high as N00 mm/min.	Diese Datei enthält Vorschubbefehle mit einem Wert von N00 mm/min.	Ce fichier contient des commandes de vitesse d'avance maximales de N00 mm/min.	Questo file contiene comandi di avanzamento fino a N00 mm/min.	Tämä tiedosto sisältää syöttönopeuskomentoja, joiden arvo on N00 mm/min.	Dit bestand bevat aanzetcommando's met een aanzet tot N00 mm/min.	Ten plik zawiera polecenia posuwu tak wysokie jak N00 mm/min.	Denne fil indeholder kommandoer for fremføringshastighed så højt som N00 mm/min.	이 파일에는 N00 mm/min의 피드 속도 명령이 포함되어 있습니다.	Den här filen innehåller kommandon för matningshastighet så högt som N00 mm/min.	このファイルには、N00 mm/min までの送り速度コマンドが含まれています。	Este archivo contiene órdenes de avance hasta N00 mm/min.
The recommended maximum feed rate is 5000 mm/min.	Die empfohlene maximale Vorschubgeschwindigkeit ist 5000 mm/min.	La vitesse d'avance maximale recommandée est de 5000 mm/min.	L'avanzamento massimo raccomandato è 5000 mm/min.	Suositeltava suurin syöttönopeus on 5000 mm/min.	De aanbevolen maximale voedingssnelheid is 5000 mm/min.	Zalecana maksymalna prędkość posuwu wynosi 5000 mm/min.	Den anbefalede maksimale fremføringshastighed er 5000 mm/min.	권장되는 최대 공급 속도는 5000 mm/min입니다.	Den rekommenderade maximala matningshastigheten är 5000 mm/min.	推奨最大送り速度は 5000 mm/min です。	El avance máximo recomendado es de 5000 mm/min.
Line	Zeile	Ligne	Linea	Rivi	Regel	Linia	Linje	선	Linje	ライン	Línea
error	fehler	erreur	errore	virhe	fout	błąd	fejl	오류	fel	エラー	error
ERROR SUMMARY	FEHLER-ZUSAMMENFASSUNG	RAPPORT D'ERREUR	SOMMARIO DEGLI ERRORI	VIRHEEN YHTEENVETO	FOUT SAMENVATTING	PODSUMOWANIE BŁĘDÓW	OVERSIGT OVER FEJL	오류 요약	SAMMANFATTNING AV FEL	エラーの概要	RESUMEN DE ERRORES
G-code words consist of a letter and a value. Letter was not found.	G-Code-Wörter bestehen aus einem Buchstaben und einem Wert. Buchstabe wurde nicht gefunden.	Les mots en G-code sont composés d'une lettre et d'une valeur. La lettre n'a pas été trouvée.	Le parole del codice G consistono in una lettera e un valore. Lettera non trovata.	G-koodin sanat koostuvat kirjaimesta ja arvosta. Kirjainta ei löytynyt.	G-code woorden bestaan uit een letter en een waarde. Letter is niet gevonden.	Słowa G-code składają się z liter i liczb. Litera nie została znaleziona.	G-kodeord består af et bogstav og en værdi. Bogstav blev ikke fundet.	G코드 단어는 문자와 값으로 구성 됩니다. 내용를 찾을 수 없었습니다.	G-koden består av en bokstav och ett värde. Bokstaven hittades inte.	G コードの単語は文字と値で構成されます。手紙は見つかりませんでした。	Las palabras del código G están formadas por una letra y un valor. No se ha encontrado la letra.
Numeric value format is not valid or missing an expected value.	Numerisches Werteformat ist nicht gültig oder es fehlt ein erwarteter Wert.	Le format de la valeur numérique n'est pas valide ou il manque une valeur attendue.	Il formato del valore numerico non è valido o manca un valore previsto.	Numeerisen arvon muoto ei ole kelvollinen tai siitä puuttuu odotettu arvo.	Numerieke waarde-indeling is niet geldig of er ontbreekt een verwachte waarde.	Format wartości numerycznej jest nieprawidłowy lub brakuje oczekiwanej wartości.	Det numeriske værdiformat er ikke gyldigt eller mangler en forventet værdi.	숫자 값 형식은 유효하지 않거나 예상 값이 누락되지 않습니다.	Formatet för det numeriska värdet är inte giltigt eller saknar ett förväntat värde.	数値形式が無効であるか、予期される値がありません。	El formato del valor numérico no es válido o falta un valor esperado.
Grbl '$' system command was not recognized or supported.	Grbl '$' Systembefehl wurde nicht erkannt oder unterstützt.	La commande système Grbl '$' n'a pas été reconnue ou prise en charge.	Il comando di sistema Grbl '$' non è stato riconosciuto o supportato.	Grbl '$' -järjestelmäkomentoa ei tunnistettu tai tuettu.	Grbl '$' systeemcommando werd niet herkend of ondersteund.	Polecenie systemowe Grbl '$' nie zostało rozpoznane lub nie jest obsługiwane.	Grbl '$' systemkommandoen blev ikke genkendt eller understøttet.	Grbl'$'시스템 명령은 인식이 안되며 지원 되지 않았습니다.	Systemkommandot Grbl '$' kände inte igen eller stöddes inte.	Grbl '$' システム コマンドは認識されないか、サポートされていませんでした。	El comando del sistema Grbl '$' no fue reconocido o soportado.
Negative value received for an expected positive value.	Negativer Wert wurde für einen erwarteten positiven Wert empfangen.	Valeur négative reçue pour une valeur positive attendue.	Valore negativo ricevuto al posto di un atteso valore positivo.	Negatiivinen arvo vastaanotettu odotetulle positiiviselle arvolle.	Negatieve waarde ontvangen voor een verwachte positieve waarde.	Otrzymano wartość ujemną dla oczekiwanej wartości dodatniej.	Negativ værdi modtaget for en forventet positiv værdi.	예상되는 양수 값에 대해 음수 값이 수신 되었습니다.	Negativt värde erhålls när ett possitivt värde förväntades.	期待される正の値に対して負の値を受け取りました。	Valor negativo recibido para un valor positivo esperado.
Homing cycle is not enabled via settings.	Referenzfahrt ist nicht über Einstellungen aktiviert.	La prise d'origine n'est pas activée dans les paramètres.	Il ciclo di homing non è abilitato nelle impostazioni.	Kotiutusjakso ei ole käytössä asetuksissa.	Homing cycle is niet ingeschakeld via de instellingen.	Cykl bazowania nie jest włączony w ustawieniach.	Hjemfinding er ikke aktiveret via indstillingerne.	홈으로 되돌아오는 주기는 설정을 통해 활성화되지 않습니다.	Homing cycle är inte aktiverad via inställningarna.	ホーミングサイクルは設定では有効になっていません。	El ciclo de búsqueda no está habilitado a través de los ajustes.
Minimum step pulse time must be greater than 3 microseconds.	Minimale Schrittimpulszeit muss größer als 3 Mikrosekunden sein.	La durée minimale d'impulsion de pas doit être supérieure à 3 microsecondes.	Il tempo minimo dell'impulso di passo deve essere maggiore di 3 microsecondi.	Askelpulssien vähimmäispulssiajan on oltava yli 3 mikrosekuntia.	De minimale stappulstijd moet groter zijn dan 3 microseconden.	Minimalny czas impulsu kroku musi być większy niż 3 mikrosekundy.	Den mindste trinimpulstid skal være større end 3 mikrosekunder.	최소 단계 펄스 시간은 3마이크로 초 보다 커야 합니다.	Minsta stegpulstid måste vara större än 3 mikrosekunder.	最小ステップ パルス時間は 3 マイクロ秒より大きくなければなりません。	El tiempo mínimo de impulso de paso debe ser superior a 3 microsegundos.
